cond,item_id,set,stat,ground_truth,repetition,knowledge_level
1,1,1,n_c_e,true,new,preschool
1,2,1,n_c_e,true,new,preschool
1,3,1,n_c_e,true,new,preschool
1,4,1,n_c_e,true,new,preschool
1,5,2,n_c_m,true,new,elementary
1,6,2,n_c_m,true,new,elementary
1,7,2,n_c_m,true,new,elementary
1,8,2,n_c_m,true,new,elementary
1,9,3,n_c_h,true,new,middle
1,10,3,n_c_h,true,new,middle
1,11,3,n_c_h,true,new,middle
1,12,3,n_c_h,true,new,middle
1,13,4,n_i_e,false,new,preschool
1,14,4,n_i_e,false,new,preschool
1,15,4,n_i_e,false,new,preschool
1,16,4,n_i_e,false,new,preschool
1,17,5,n_i_m,false,new,elementary
1,18,5,n_i_m,false,new,elementary
1,19,5,n_i_m,false,new,elementary
1,20,5,n_i_m,false,new,elementary
1,21,6,n_i_h,false,new,middle
1,22,6,n_i_h,false,new,middle
1,23,6,n_i_h,false,new,middle
1,24,6,n_i_h,false,new,middle
1,25,7,r_c_e,true,repeated,preschool
1,26,7,r_c_e,true,repeated,preschool
1,27,7,r_c_e,true,repeated,preschool
1,28,7,r_c_e,true,repeated,preschool
1,29,8,r_c_m,true,repeated,elementary
1,30,8,r_c_m,true,repeated,elementary
1,31,8,r_c_m,true,repeated,elementary
1,32,8,r_c_m,true,repeated,elementary
1,33,9,r_c_h,true,repeated,middle
1,34,9,r_c_h,true,repeated,middle
1,35,9,r_c_h,true,repeated,middle
1,36,9,r_c_h,true,repeated,middle
1,37,10,r_i_e,false,repeated,preschool
1,38,10,r_i_e,false,repeated,preschool
1,39,10,r_i_e,false,repeated,preschool
1,40,10,r_i_e,false,repeated,preschool
1,41,11,r_i_m,false,repeated,elementary
1,42,11,r_i_m,false,repeated,elementary
1,43,11,r_i_m,false,repeated,elementary
1,44,11,r_i_m,false,repeated,elementary
1,45,12,r_i_h,false,repeated,middle
1,46,12,r_i_h,false,repeated,middle
1,47,12,r_i_h,false,repeated,middle
1,48,12,r_i_h,false,repeated,middle
2,1,1,r_i_e,false,repeated,preschool
2,2,1,r_i_e,false,repeated,preschool
2,3,1,r_i_e,false,repeated,preschool
2,4,1,r_i_e,false,repeated,preschool
2,5,2,r_i_m,false,repeated,elementary
2,6,2,r_i_m,false,repeated,elementary
2,7,2,r_i_m,false,repeated,elementary
2,8,2,r_i_m,false,repeated,elementary
2,9,3,r_i_h,false,repeated,middle
2,10,3,r_i_h,false,repeated,middle
2,11,3,r_i_h,false,repeated,middle
2,12,3,r_i_h,false,repeated,middle
2,13,4,n_c_e,true,new,preschool
2,14,4,n_c_e,true,new,preschool
2,15,4,n_c_e,true,new,preschool
2,16,4,n_c_e,true,new,preschool
2,17,5,n_c_m,true,new,elementary
2,18,5,n_c_m,true,new,elementary
2,19,5,n_c_m,true,new,elementary
2,20,5,n_c_m,true,new,elementary
2,21,6,n_c_h,true,new,middle
2,22,6,n_c_h,true,new,middle
2,23,6,n_c_h,true,new,middle
2,24,6,n_c_h,true,new,middle
2,25,7,n_i_e,false,new,preschool
2,26,7,n_i_e,false,new,preschool
2,27,7,n_i_e,false,new,preschool
2,28,7,n_i_e,false,new,preschool
2,29,8,n_i_m,false,new,elementary
2,30,8,n_i_m,false,new,elementary
2,31,8,n_i_m,false,new,elementary
2,32,8,n_i_m,false,new,elementary
2,33,9,n_i_h,false,new,middle
2,34,9,n_i_h,false,new,middle
2,35,9,n_i_h,false,new,middle
2,36,9,n_i_h,false,new,middle
2,37,10,r_c_e,true,repeated,preschool
2,38,10,r_c_e,true,repeated,preschool
2,39,10,r_c_e,true,repeated,preschool
2,40,10,r_c_e,true,repeated,preschool
2,41,11,r_c_m,true,repeated,elementary
2,42,11,r_c_m,true,repeated,elementary
2,43,11,r_c_m,true,repeated,elementary
2,44,11,r_c_m,true,repeated,elementary
2,45,12,r_c_h,true,repeated,middle
2,46,12,r_c_h,true,repeated,middle
2,47,12,r_c_h,true,repeated,middle
2,48,12,r_c_h,true,repeated,middle
3,1,1,r_c_e,true,repeated,preschool
3,2,1,r_c_e,true,repeated,preschool
3,3,1,r_c_e,true,repeated,preschool
3,4,1,r_c_e,true,repeated,preschool
3,5,2,r_c_m,true,repeated,elementary
3,6,2,r_c_m,true,repeated,elementary
3,7,2,r_c_m,true,repeated,elementary
3,8,2,r_c_m,true,repeated,elementary
3,9,3,r_c_h,true,repeated,middle
3,10,3,r_c_h,true,repeated,middle
3,11,3,r_c_h,true,repeated,middle
3,12,3,r_c_h,true,repeated,middle
3,13,4,r_i_e,false,repeated,preschool
3,14,4,r_i_e,false,repeated,preschool
3,15,4,r_i_e,false,repeated,preschool
3,16,4,r_i_e,false,repeated,preschool
3,17,5,r_i_m,false,repeated,elementary
3,18,5,r_i_m,false,repeated,elementary
3,19,5,r_i_m,false,repeated,elementary
3,20,5,r_i_m,false,repeated,elementary
3,21,6,r_i_h,false,repeated,middle
3,22,6,r_i_h,false,repeated,middle
3,23,6,r_i_h,false,repeated,middle
3,24,6,r_i_h,false,repeated,middle
3,25,7,n_c_e,true,new,preschool
3,26,7,n_c_e,true,new,preschool
3,27,7,n_c_e,true,new,preschool
3,28,7,n_c_e,true,new,preschool
3,29,8,n_c_m,true,new,elementary
3,30,8,n_c_m,true,new,elementary
3,31,8,n_c_m,true,new,elementary
3,32,8,n_c_m,true,new,elementary
3,33,9,n_c_h,true,new,middle
3,34,9,n_c_h,true,new,middle
3,35,9,n_c_h,true,new,middle
3,36,9,n_c_h,true,new,middle
3,37,10,n_i_e,false,new,preschool
3,38,10,n_i_e,false,new,preschool
3,39,10,n_i_e,false,new,preschool
3,40,10,n_i_e,false,new,preschool
3,41,11,n_i_m,false,new,elementary
3,42,11,n_i_m,false,new,elementary
3,43,11,n_i_m,false,new,elementary
3,44,11,n_i_m,false,new,elementary
3,45,12,n_i_h,false,new,middle
3,46,12,n_i_h,false,new,middle
3,47,12,n_i_h,false,new,middle
3,48,12,n_i_h,false,new,middle
4,1,1,n_i_e,false,new,preschool
4,2,1,n_i_e,false,new,preschool
4,3,1,n_i_e,false,new,preschool
4,4,1,n_i_e,false,new,preschool
4,5,2,n_i_m,false,new,elementary
4,6,2,n_i_m,false,new,elementary
4,7,2,n_i_m,false,new,elementary
4,8,2,n_i_m,false,new,elementary
4,9,3,n_i_h,false,new,middle
4,10,3,n_i_h,false,new,middle
4,11,3,n_i_h,false,new,middle
4,12,3,n_i_h,false,new,middle
4,13,4,r_c_e,true,repeated,preschool
4,14,4,r_c_e,true,repeated,preschool
4,15,4,r_c_e,true,repeated,preschool
4,16,4,r_c_e,true,repeated,preschool
4,17,5,r_c_m,true,repeated,elementary
4,18,5,r_c_m,true,repeated,elementary
4,19,5,r_c_m,true,repeated,elementary
4,20,5,r_c_m,true,repeated,elementary
4,21,6,r_c_h,true,repeated,middle
4,22,6,r_c_h,true,repeated,middle
4,23,6,r_c_h,true,repeated,middle
4,24,6,r_c_h,true,repeated,middle
4,25,7,r_i_e,false,repeated,preschool
4,26,7,r_i_e,false,repeated,preschool
4,27,7,r_i_e,false,repeated,preschool
4,28,7,r_i_e,false,repeated,preschool
4,29,8,r_i_m,false,repeated,elementary
4,30,8,r_i_m,false,repeated,elementary
4,31,8,r_i_m,false,repeated,elementary
4,32,8,r_i_m,false,repeated,elementary
4,33,9,r_i_h,false,repeated,middle
4,34,9,r_i_h,false,repeated,middle
4,35,9,r_i_h,false,repeated,middle
4,36,9,r_i_h,false,repeated,middle
4,37,10,n_c_e,true,new,preschool
4,38,10,n_c_e,true,new,preschool
4,39,10,n_c_e,true,new,preschool
4,40,10,n_c_e,true,new,preschool
4,41,11,n_c_m,true,new,elementary
4,42,11,n_c_m,true,new,elementary
4,43,11,n_c_m,true,new,elementary
4,44,11,n_c_m,true,new,elementary
4,45,12,n_c_h,true,new,middle
4,46,12,n_c_h,true,new,middle
4,47,12,n_c_h,true,new,middle
4,48,12,n_c_h,true,new,middle
